"","X","date","time","pop","eggs","date_time","pop_type","date_time_pop"
"91",1041,"2022-02-05","daytime","evo1",53,"2022-02-05_pm","evo","2022-02-05_pm_evo1"
"92",1042,"2022-02-05","daytime","evo2",41,"2022-02-05_pm","evo","2022-02-05_pm_evo2"
"93",1043,"2022-02-05","daytime","evo3",30,"2022-02-05_pm","evo","2022-02-05_pm_evo3"
"94",1044,"2022-02-05","daytime","evo4",25,"2022-02-05_pm","evo","2022-02-05_pm_evo4"
"95",1045,"2022-02-05","daytime","evo5",28,"2022-02-05_pm","evo","2022-02-05_pm_evo5"
"96",1046,"2022-02-05","daytime","rap1",32,"2022-02-05_pm","anc","2022-02-05_pm_rap1"
"97",1047,"2022-02-05","daytime","rap2",25,"2022-02-05_pm","anc","2022-02-05_pm_rap2"
"98",1048,"2022-02-05","daytime","rap3",27,"2022-02-05_pm","anc","2022-02-05_pm_rap3"
"99",1049,"2022-02-05","daytime","rap4",24,"2022-02-05_pm","anc","2022-02-05_pm_rap4"
"100",1050,"2022-02-05","daytime","rap5",21,"2022-02-05_pm","anc","2022-02-05_pm_rap5"
"101",91,"2022-02-06","daytime","evo1",135,"2022-02-06_pm","evo","2022-02-06_pm_evo1"
"102",92,"2022-02-06","daytime","evo2",69,"2022-02-06_pm","evo","2022-02-06_pm_evo2"
"103",93,"2022-02-06","daytime","evo3",147,"2022-02-06_pm","evo","2022-02-06_pm_evo3"
"104",94,"2022-02-06","daytime","evo4",67,"2022-02-06_pm","evo","2022-02-06_pm_evo4"
"105",95,"2022-02-06","daytime","evo5",163,"2022-02-06_pm","evo","2022-02-06_pm_evo5"
"106",96,"2022-02-06","daytime","rap1",58,"2022-02-06_pm","anc","2022-02-06_pm_rap1"
"107",97,"2022-02-06","daytime","rap2",33,"2022-02-06_pm","anc","2022-02-06_pm_rap2"
"108",98,"2022-02-06","daytime","rap3",21,"2022-02-06_pm","anc","2022-02-06_pm_rap3"
"109",99,"2022-02-06","daytime","rap4",28,"2022-02-06_pm","anc","2022-02-06_pm_rap4"
"110",100,"2022-02-06","daytime","rap5",36,"2022-02-06_pm","anc","2022-02-06_pm_rap5"
"111",1051,"2022-02-06","overnight","evo1",125,"2022-02-06_am","evo","2022-02-06_am_evo1"
"112",1052,"2022-02-06","overnight","evo2",76,"2022-02-06_am","evo","2022-02-06_am_evo2"
"113",1053,"2022-02-06","overnight","evo3",180,"2022-02-06_am","evo","2022-02-06_am_evo3"
"114",1054,"2022-02-06","overnight","evo4",164,"2022-02-06_am","evo","2022-02-06_am_evo4"
"115",1055,"2022-02-06","overnight","evo5",176,"2022-02-06_am","evo","2022-02-06_am_evo5"
"116",1056,"2022-02-06","overnight","rap1",208,"2022-02-06_am","anc","2022-02-06_am_rap1"
"117",1057,"2022-02-06","overnight","rap2",214,"2022-02-06_am","anc","2022-02-06_am_rap2"
"118",1058,"2022-02-06","overnight","rap3",181,"2022-02-06_am","anc","2022-02-06_am_rap3"
"119",1059,"2022-02-06","overnight","rap4",178,"2022-02-06_am","anc","2022-02-06_am_rap4"
"120",1060,"2022-02-06","overnight","rap5",170,"2022-02-06_am","anc","2022-02-06_am_rap5"
"121",101,"2022-02-07","overnight","evo1",183,"2022-02-07_am","evo","2022-02-07_am_evo1"
"122",102,"2022-02-07","overnight","evo2",242,"2022-02-07_am","evo","2022-02-07_am_evo2"
"123",103,"2022-02-07","overnight","evo3",169,"2022-02-07_am","evo","2022-02-07_am_evo3"
"124",104,"2022-02-07","overnight","evo4",226,"2022-02-07_am","evo","2022-02-07_am_evo4"
"125",105,"2022-02-07","overnight","evo5",152,"2022-02-07_am","evo","2022-02-07_am_evo5"
"126",106,"2022-02-07","overnight","rap1",270,"2022-02-07_am","anc","2022-02-07_am_rap1"
"127",107,"2022-02-07","overnight","rap2",190,"2022-02-07_am","anc","2022-02-07_am_rap2"
"128",108,"2022-02-07","overnight","rap3",232,"2022-02-07_am","anc","2022-02-07_am_rap3"
"129",109,"2022-02-07","overnight","rap4",204,"2022-02-07_am","anc","2022-02-07_am_rap4"
"130",110,"2022-02-07","overnight","rap5",223,"2022-02-07_am","anc","2022-02-07_am_rap5"
"131",111,"2022-02-07","daytime","evo1",106,"2022-02-07_pm","evo","2022-02-07_pm_evo1"
"132",112,"2022-02-07","daytime","evo2",90,"2022-02-07_pm","evo","2022-02-07_pm_evo2"
"133",113,"2022-02-07","daytime","evo3",100,"2022-02-07_pm","evo","2022-02-07_pm_evo3"
"134",114,"2022-02-07","daytime","evo4",77,"2022-02-07_pm","evo","2022-02-07_pm_evo4"
"135",115,"2022-02-07","daytime","evo5",113,"2022-02-07_pm","evo","2022-02-07_pm_evo5"
"136",116,"2022-02-07","daytime","rap1",30,"2022-02-07_pm","anc","2022-02-07_pm_rap1"
"137",117,"2022-02-07","daytime","rap2",48,"2022-02-07_pm","anc","2022-02-07_pm_rap2"
"138",118,"2022-02-07","daytime","rap3",42,"2022-02-07_pm","anc","2022-02-07_pm_rap3"
"139",119,"2022-02-07","daytime","rap4",42,"2022-02-07_pm","anc","2022-02-07_pm_rap4"
